supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,year,month,day,dayofweek
Aldi,1.89,15.8,kg,Mamia Organic Strawberry Fruity Bars 6x20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.89,15.8,kg,Mamia Organic Apple Fruity Bars 6x20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.09,10.9,kg,Mamia Organic Raspberry & Blueberry Porridge 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.09,10.9,kg,Mamia Organic Apple & Banana Porridge 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Mamia Organic Banana Rusk Biscotti Fingers 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Mamia Organic Strawberry Rusk Biscotti Fingers 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,5.9,kg,Mamia Organic Green Veggies 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,5.9,kg,Mamia Organic Orange Veggies 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,5.9,kg,Mamia Organic Red Veggies 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.95,4.8,kg,Mamia Organic Bolognese Pasta Bake Tray Meal 200g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.95,4.8,kg,Mamia Organic Vegetables & Rice Tray Meal 200g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.95,4.8,kg,Mamia Organic Vegetable & Beef Hotpot Tray Meal 200g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.99,11.0,kg,Peppa Pig Really Cheesy Flavour Lentil Puffs 5 X 18g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,41.5,kg,"Kiddylicious Fruit Wriggles, Strawberry, Infant Snack,",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,41.5,kg,"Kiddylicious Fruit Wriggles, Apple, Infant Snack, 12 Mo",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,41.5,kg,"Kiddylicious Crispy Tiddlers, Raspberry, Infant Snack,",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.25,20.5,kg,"Organix Raspberry & Apple, Apple & Orange Mini Oaty Bit",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.25,18.8,kg,Organix Strawberry & Banana Porridge 6+ Months 120g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.49,24.9,kg,Organix Cocoa & Vanilla Gruffalo Biscuits 12+ Months (1,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,41.5,kg,Kiddylicious Strawberry Crispy Tiddlers 12 Months+ (48g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,36.6,kg,"Kiddylicious Mini Coconut Rolls, Infant Snack, 12 Month",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,33.2,kg,Piccolo Organic Multigrain Puffs Tomato Rings 7+ Months,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,33.2,kg,Piccolo Organic Multigrain Puffs Carrot Stars 60g 4 X 1,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.99,55.3,kg,"Ella's Kitchen Pineapple, Mango + Orange Melty Hoops 10",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
